id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,求不定积分：$\int{\frac{x^2+1}{x^4+1}}\mathrm{d}x=$____ A. $\dfrac{\sqrt{3}}{2}\arctan\left(\dfrac{x-\frac{1}{x}}{\sqrt{2}}\right)+C$ B. $\dfrac{\sqrt{3}}{3}\arctan\left(\dfrac{x-\frac{1}{x}}{\sqrt{3}}\right)+C$ C. $\dfrac{\sqrt{2}}{2}\arctan\left(\dfrac{x+\frac{1}{x}}{\sqrt{3}}\right)+C$ D. $\dfrac{\sqrt{2}}{2}\arctan\left(\dfrac{x-\frac{1}{x}}{\sqrt{2}}\right)+C$ 答案：,,B,,B,llama-7b-hf,1039,1037,2,0.0,0.16
1,0,求极限：$\lim_{n\rightarrow\infty}\int_0^2{\frac{x^n\ln x}{1+x^n}}\mathrm{d}x$=____ A. $\ln 2-1$ B. $2\ln 2-1$ C. $\ln 2-2$ D. $\ln 2$ 答案：,,D,,D,llama-7b-hf,951,949,2,0.0,0.14
2,0,求极限：$\lim_{x\rightarrow\infty}\left(\cos\frac{1}{x}+\sin\frac{1}{x^2}\right)^{x^2}=$____ A. $\mathrm e^{\frac12}$ B. $\mathrm e^{\frac23}$ C. $\mathrm e^{\frac13}$ D. $\mathrm e^{\frac34}$ 答案：,,C,,C,llama-7b-hf,954,952,2,0.0,0.12
3,0,求球体$x^2+y^2+z^2\leq R^2$与$x^2+y^2+z^2\leqslant2Rz$所围公共部分的体积____ A. $\frac{5}{12}\pi R^3$ B. $\frac{1}{2}\pi R^3$ C. $\frac{7}{12}\pi R^3$ D. $\frac{2}{3}\pi R^3$ 答案：,,B,,B,llama-7b-hf,983,981,2,0.0,0.14
4,0,求极限：$\lim_{x\rightarrow\infty}\left(\frac{x^3}{x^2+1}-\frac{x^2}{x-1}\right)=$____ A. 1 B. 0 C. -1 D. $\frac{1}{2}$ 答案：,,D,,D,llama-7b-hf,935,933,2,0.0,0.14
5,0,计算定积分：$I=\int_0^1{\ln x\ln\left(1-x\right)}\mathrm{d}x=$____ A. $2-\frac{\pi^{2}}{6}$ B. $2-\frac{\pi^{2}}{3}$ C. $1-\frac{\pi^{2}}{3}$ D. $1-\frac{\pi^{2}}{6}$ 答案：,,C,,C,llama-7b-hf,960,958,2,0.0,0.13
6,0,当$p$为何值时，广义积分$\int_0^{\frac{\pi}{2}}{\left|\ln\sin x\right|^p\mathrm{d}x}$是收敛的____ A. $p>-\frac{1}{2}$时 B. $p<-\frac{1}{2}$时 C. $p>-\frac{2}{3}$时 D. $p<-\frac{2}{3}$时 答案：,,C,,C,llama-7b-hf,973,971,2,0.0,0.14
7,0,"二重极限$\lim_{\left(x,y\right)\to\left(0,0\right)}\frac{3\sin\left(xy\right)}{\sqrt{1+6xy}-1}=$____ A. $\dfrac{1}{4}$ B. 1 C. $\dfrac{3}{4}$ D. $\dfrac{1}{2}$ 答案：",,C,,C,llama-7b-hf,952,950,2,0.0,0.13
8,0,求不定积分：$I=\int{\frac{\mathrm{d}x}{\left(x^2+x+1\right)^2}}$____ A. $\frac{5\sqrt{3}}{9}\mathrm{arc}\tan \frac{2}{\sqrt{3}}\left( x+\frac{1}{2} \right) +\frac{3x+1}{3\left( x^2+x+1 \right)}+C$ B. $\frac{4\sqrt{3}}{9}\mathrm{arc}\tan \frac{2}{\sqrt{3}}\left( x+\frac{1}{2} \right) +\frac{3x+1}{3\left( x^2+x+1 \right)}+C$ C. $\frac{4\sqrt{3}}{7}\mathrm{arc}\tan \frac{2}{\sqrt{3}}\left( x+\frac{1}{3} \right) +\frac{2x+3}{3\left( x^2+x+1 \right)}+C$ D. $\frac{4\sqrt{3}}{9}\mathrm{arc}\tan \frac{2}{\sqrt{3}}\left( x+\frac{1}{2} \right) +\frac{2x+1}{3\left( x^2+x+1 \right)}+C$ 答案：,,A,,A,llama-7b-hf,1167,1165,2,0.0,0.18
9,0,"设区域$D$是由$y=x,x^2+y^2=2x$以及$x$轴所围成的第一象限的部分；求区域$D$绕$x=2$旋转所得的旋转体体积____ A. $\frac{\pi^{2}}{4}+\frac{\pi}{3}$ B. $\frac{\pi^{2}}{2}+\frac{\pi}{3}$ C. $\frac{\pi^{2}}{2}+\frac{2\pi}{3}$ D. $\frac{\pi^{2}}{2}+\frac{4\pi}{3}$ 答案：",,D,,D,llama-7b-hf,1024,1022,2,0.0,0.13
10,0,"设区域$D_1$为$x^2+y^2\leq1$在第一象限的部分，$D_2$为$\left|x\right|+\left|y\right|\leq1$在第一象限的部分，则$I_1=\iint_{D_1}{\cos\left(\pi x y\right)}\mathrm{d}\sigma,I_2=\iint_{D_2}{\cos\left(\pi x  y\right)}\mathrm{d}\sigma,I_3=\iint_{D_2}{\sin\left(\pi x y\right)}\mathrm{d}\sigma$的大小关系是？____ A. $I_3>I_2>I_1$ B. $I_2>I_1>I_3$ C. $I_3>I_1>I_2$ D. $I_1>I_2>I_3$ 答案：",,C,,C,llama-7b-hf,1087,1085,2,0.0,0.17
11,0,求不定积分$I=\int{\frac{1+\ln x}{x^{-x}+x^x}}\mathrm{d}x$____ A. $\mathrm{arc}\tan \left( x^x \right) + x +C$ B. $\mathrm{arc}\tan \left( x^x \right) +2x +C$ C. $\mathrm{arc}\tan \left( x^x \right) - x +C$ D. $\mathrm{arc}\tan \left( x^x \right) +C$ 答案：,,C,,C,llama-7b-hf,992,990,2,0.0,0.13
12,0,求极限：$\lim_{x\rightarrow0^+}\frac{\mathrm{e}^x-1-x}{\sqrt{1-x}-\cos\sqrt{x}}$=____ A. 0 B. -1 C. -2 D. -3 答案：,,D,,D,llama-7b-hf,928,926,2,0.0,0.13
