id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,《三滴血》是____新戏。 A. 京剧 B. 昆曲 C. 秦腔 D. 河北梆子 答案：,,B,,B,llama-7b-hf,640,638,2,0.0,0.08
1,0,《被缚的普罗米修斯》是____的作品。 A. 欧里庇得斯 B. 埃斯库罗斯 C. 阿里斯托芬 D. 索福克勒斯 答案：,,B,,B,llama-7b-hf,660,658,2,0.0,0.09
2,0,20世纪60年代波兰戏剧家格洛托夫斯基创立了____学派。 A. 启蒙主义 B. 古典主义 C. 贫困戏剧 D. 浪漫主义 答案：,,B,,B,llama-7b-hf,676,674,2,0.0,0.09
3,0,黄筌以____最为著名。 A. 人物画 B. 山水画 C. 花鸟画 D. 文人画 答案：,,B,,B,llama-7b-hf,631,629,2,0.0,0.08
4,0,《熙德》是____的作品。 A. 莎士比亚 B. 高乃依 C. 拉辛 D. 莫里哀 答案：,,B,,B,llama-7b-hf,642,640,2,0.0,0.08
5,0,戏剧是以____为中心的艺术。 A. 道具 B. 演员 C. 语言 D. 导演 答案：,,B,,B,llama-7b-hf,638,636,2,0.0,0.08
6,0,《群众与人》是____的作品。 A. 托勒 B. 卡佩克 C. 斯特林堡 D. 恺撒 答案：,,B,,B,llama-7b-hf,643,641,2,0.0,0.09
7,0,贝多芬的《第九交响曲》又称作____。 A. 《英雄交响曲》 B. 《合唱交响曲》 C. 《田园交响曲》 D. 《命运交响曲》 答案：,,B,,B,llama-7b-hf,668,666,2,0.0,0.09
8,0,儿童歌舞曲《可怜的秋香》的创作者是____。 A. 黎锦晖 B. 萧友梅 C. 刘天华 D. 李叔同 答案：,,B,,B,llama-7b-hf,653,651,2,0.0,0.09
9,0,小仲马的代表作是____。 A. 《茶花女》 B. 《安德罗玛克》 C. 《埃格蒙特》 D. 《萨拉·萨姆逊小姐》 答案：,,B,,B,llama-7b-hf,662,660,2,0.0,0.09
10,0,肖邦出生于____。 A. 德国柏林 B. 英国伦敦 C. 波兰华沙 D. 奥地利维也纳 答案：,,B,,B,llama-7b-hf,647,645,2,0.0,0.09
11,0,汪笑侬是____作家、演员，工老生。 A. 川剧 B. 昆剧 C. 评剧 D. 京剧 答案：,,B,,B,llama-7b-hf,647,645,2,0.0,0.09
12,0,《李尔王》属于____。 A. 中世纪宗教戏剧 B. 文艺复兴戏剧 C. 古希腊戏剧 D. 古典主义戏剧 答案：,,B,,B,llama-7b-hf,659,657,2,0.0,0.09
