id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,____被誉为加拿大的“西部天堂”。 A. 温哥华 B. 魁北克市 C. 多伦多 D. 渥太华 答案：,,B,,B,llama-7b-hf,694,692,2,0.0,0.09
1,0,我国高中阶段研学旅行活动课程体系以____为主。 A. 乡土乡情 B. 县情市情 C. 省情国情 D. 寓教于游 答案：,,C,,C,llama-7b-hf,699,697,2,0.0,0.09
2,0,为打好淮海战役，中共中央决定由____同志任书记，负责统一指挥作战。 A. 刘伯承 B. 陈毅 C. 邓小平 D. 谭震林 答案：,,C,,C,llama-7b-hf,726,724,2,0.0,0.09
3,0,2020年12月17日，嫦娥五号返回器携带____“月壤”安全着陆，标志着探月工程嫦娥五号任务取得圆满成功。 A. 450克 B. 825克 C. 1221克 D. 1731克 答案：,,C,,C,llama-7b-hf,747,745,2,0.0,0.1
4,0,不是扬州画派的代表人物的是____。 A. 黄慎 B. 金农 C. 叶欣 D. 郑板桥 答案：,,B,,B,llama-7b-hf,692,690,2,0.0,0.09
5,0,下列名茶中，采用全发酵法制成的茶叶是____。 A. 绿茶 B. 红茶 C. 乌龙茶 D. 白茶 答案：,,B,,B,llama-7b-hf,691,689,2,0.0,0.09
6,0,____被称为俄罗斯的“北方首都”，又有“北方威尼斯”之称。 A. 莫斯科 B. 喀山 C. 叶卡捷琳堡 D. 圣彼得堡 答案：,,B,,B,llama-7b-hf,723,721,2,0.0,0.1
7,0,我国大陆海岸线纵跨____个气候带。 A. 二 B. 三 C. 四 D. 五 答案：,,C,,C,llama-7b-hf,683,681,2,0.0,0.09
8,0,“赐进士出身”是殿试____的成绩。 A. 一甲 B. 二甲 C. 三甲 D. 四甲 答案：,,B,,B,llama-7b-hf,681,679,2,0.0,0.09
9,0,在理论和实践的基础体系上仍接近于原始佛教的上座部佛教又被称为____。 A. 大乘佛教 B. 小乘佛教 C. 密宗 D. 禅宗 答案：,,B,,B,llama-7b-hf,720,718,2,0.0,0.09
10,0,古人使用十二地支计时，将一天分为12个时辰，其中子时是指____。 A. 23～1点 B. 11～13点 C. 17～19点 D. 21～23点 答案：,,B,,B,llama-7b-hf,707,705,2,0.0,0.1
11,0,下列佛教教义中，____提出了佛教出世间的最高理想——涅槃。 A. 苦谛 B. 集谛 C. 道谛 D. 灭谛 答案：,,B,,B,llama-7b-hf,707,705,2,0.0,0.1
12,0,伊斯兰教传入中国的时间是____。 A. 东汉时期 B. 公元前二年 C. 唐永徽二年 D. 七世纪初 答案：,,B,,B,llama-7b-hf,690,688,2,0.0,0.09
13,0,1927年8月7日中共中央在____秘密召开的紧急会议(即八七会议)，开始了中国革命由大革命失败到土地革命兴起的历史性转变。 A. 江苏南京 B. 湖北汉口 C. 广东广州 D. 湖北武昌 答案：,,B,,B,llama-7b-hf,753,751,2,0.0,0.1
14,0,上海世博会是中国首次举办的综合性世界博览会，举办时间是____。 A. 2008年 B. 2010年 C. 2012年 D. 2014年 答案：,,B,,B,llama-7b-hf,713,711,2,0.0,0.1
15,0,下列风景名湖中，属于咸水湖的是____。 A. 青海湖 B. 鄱阳湖 C. 西湖 D. 千岛湖 答案：,,B,,B,llama-7b-hf,688,686,2,0.0,0.09
16,0,在抗美援朝纪念馆中的纪念塔正面有着“抗美援朝纪念塔”7个镏金大字，为纪念塔题写塔名的国家领导人是____。 A. 毛泽东 B. 朱德 C. 邓小平 D. 江泽民 答案：,,C,,C,llama-7b-hf,753,751,2,0.0,0.1
17,0,曹操的诗深受乐府民歌的影响，大多采用乐府旧题，以旧题旧调表现新的内容。其主要代表作有____。 A. 《焦仲卿妻》“孔雀东南飞” B. 《燕歌行》“秋风萧瑟天气凉” C. 《步出夏门行》“东临碣石” D. 《七哀诗》“西京乱无象” 答案：,,B,,B,llama-7b-hf,802,800,2,0.0,0.1
18,0,苏州的狮子林代表着____的艺术风格。 A. 宋朝 B. 明朝 C. 元朝 D. 清朝 答案：,,B,,B,llama-7b-hf,690,688,2,0.0,0.09
19,0,最早的有系统记录的汉语文字是____时代的甲骨文。 A. 春秋 B. 西周 C. 殷商 D. 东周 答案：,,B,,B,llama-7b-hf,688,686,2,0.0,0.09
20,0,我国许多旅游区都有其特有的动物，如峨眉山的____。 A. 猴群 B. 大象 C. 丹顶鹤 D. 梅花鹿 答案：,,B,,B,llama-7b-hf,705,703,2,0.0,0.09
21,0,释迦牟尼的涅槃地是____。 A. 蓝毗尼花园 B. 菩提伽耶 C. 鹿野苑 D. 拘尸那迦 答案：,,B,,B,llama-7b-hf,715,713,2,0.0,0.1
22,0,被李白赞誉为“晋祠流水如碧玉”“百尺清潭写翠娥”的山西名泉是____。 A. 汤头温泉 B. 神溪泉 C. 大营温泉 D. 难老泉 答案：,,B,,B,llama-7b-hf,726,724,2,0.0,0.09
23,0,____中的恒星记录，是世界上最早的恒星表。 A. 《大衍历》 B. 《甘石星经》 C. 《授时历》 D. 《春秋》 答案：,,B,,B,llama-7b-hf,707,705,2,0.0,0.1
24,0,以下人物因戊戌变法失败而英勇就义的是____。 A. 康有为 B. 梁启超 C. 谭嗣同 D. 曾国藩 答案：,,B,,B,llama-7b-hf,702,700,2,0.0,0.09
25,0,素有“枫叶之国”美誉的是____。 A. 荷兰 B. 加拿大 C. 美国 D. 意大利 答案：,,B,,B,llama-7b-hf,688,686,2,0.0,0.09
26,0,湖笔和端砚分别产自____。 A. 浙江省、安徽省 B. 广东省、安徽省 C. 浙江省、广东省 D. 广东省、浙江省 答案：,,B,,B,llama-7b-hf,711,709,2,0.0,0.1
27,0,佛教约创立于公元前____世纪。 A. 3 B. 4 C. 5 D. 6 答案：,,B,,B,llama-7b-hf,675,673,2,0.0,0.09
28,0,“江到兴安水最清，青山簇簇水中生。分明看见青山顶，船在青山顶上行”的作者是____。 A. 王鹏运 B. 袁枚 C. 俞安斯 D. 杜甫 答案：,,B,,B,llama-7b-hf,725,723,2,0.0,0.1
29,0,____是奥克兰的标志性建筑。 A. 伊甸山 B. 埃菲尔铁塔 C. 天空塔 D. 凯旋门 答案：,,B,,B,llama-7b-hf,696,694,2,0.0,0.09
30,0,诗句“山重水复疑无路，柳暗花明又一村”出自____。 A. 白居易的《暮江吟》 B. 杜牧的《泊秦淮》 C. 陆游的《游山西村》 D. 文天祥的《过零丁洋》 答案：,,B,,B,llama-7b-hf,749,747,2,0.0,0.1
31,0,浙江人均水资源拥有量仅____立方米，低于全国人均水平。 A. 2000 B. 2001 C. 2004 D. 2008 答案：,,C,,C,llama-7b-hf,707,705,2,0.0,0.1
32,0,中国境内最早的人类是____。 A. 蓝田人 B. 元谋人 C. 北京山顶洞人 D. 北京人 答案：,,B,,B,llama-7b-hf,689,687,2,0.0,0.09
33,0,下面的诗中不是杜甫的是____。 A. 旧时王谢堂前燕，飞入寻常百姓家 B. 星垂平野阔，月涌大江流 C. 露从今夜白，月是故乡明 D. 吴楚东南坼，乾坤日夜浮 答案：,,B,,B,llama-7b-hf,751,749,2,0.0,0.1
