id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,宋代在“十二经”的基础上加入了____，成了后人所说的“十三经”。 A. 《孟子》 B. 《孝经》 C. 《论语》 D. 《尚书》 答案：,,B,,B,llama-7b-hf,682,680,2,0.0,0.09
1,0,____是西域传来的乐器。 A. 古琴 B. 琵琶 C. 编钟 D. 箫 答案：,,B,,B,llama-7b-hf,655,653,2,0.0,0.09
2,0,“让人不放心”属于____。 A. 联合短语 B. 兼语短语 C. 动宾短语 D. 连谓短语 答案：,,C,,C,llama-7b-hf,669,667,2,0.0,0.09
3,0,昆明话属于____。 A. 粤方言 B. 闽方言 C. 吴方言 D. 北方方言 答案：,,B,,B,llama-7b-hf,654,652,2,0.0,0.09
4,0,语气词“呢”不能用在哪种疑问句中?____ A. 是非问 B. 特指问 C. 选择问 D. 正反问 答案：,,B,,B,llama-7b-hf,670,668,2,0.0,0.09
5,0,下列不属于中国古代三宫殿之一的是____。 A. 岱庙天贶殿 B. 孔庙大成殿 C. 故宫太和殿 D. 承德避暑山庄 答案：,,B,,B,llama-7b-hf,693,691,2,0.0,0.09
6,0,____不能用“不”修饰。 A. 动词 B. 形容词 C. 名词 D. 副词 答案：,,C,,C,llama-7b-hf,657,655,2,0.0,0.09
7,0,《国语》和____，都是国别史。 A. 《左传》 B. 《战国策》 C. 《史记》 D. 《汉书》 答案：,,C,,C,llama-7b-hf,662,660,2,0.0,0.09
8,0,噪音是____。 A. 振幅固定且有规则的声波 B. 频率最低、振幅最大的音 C. 具有周期性重复的复合波形的音 D. 不具备整数倍关系的不规则的音 答案：,,B,,B,llama-7b-hf,717,715,2,0.0,0.1
9,0,从词的构造方式看，汉语“健儿”一词属于____。 A. 单纯词 B. 派生词 C. 复合词 D. 简缩词 答案：,,B,,B,llama-7b-hf,681,679,2,0.0,0.09
10,0,下列各组词中全部是联绵词的是____。 A. 仓促、妯娌、玫瑰、隆隆、蝙蝠 B. 坎坷、嘀咕、渐渐、何必、拮据 C. 详细、伶俐、逍遥、葫芦、下巴 D. 游弋、叮咛、摩托、可疑、属于 答案：,,C,,C,llama-7b-hf,766,764,2,0.0,0.09
11,0,下列句中的介词“于”，引进对象的是____。 A. 不义而富且贵，于我如浮云。(《论语·述而》) B. 青，取之于蓝而青于蓝。(《荀子·劝学》) C. 海运则将徙于南冥。(《庄子·逍遥游》) D. 王如知此，则无望民之多于邻国也。(《孟子·梁惠王上》) 答案：,,C,,C,llama-7b-hf,773,771,2,0.0,0.11
12,0,下列各组词全部属于基本词汇的是____。 A. 手、大、陛下、地壳 B. 风、花、雪、月 C. 喜欢、爱、摩登、雷达 D. 农具、犁、铁、买卖 答案：,,C,,C,llama-7b-hf,712,710,2,0.0,0.09
13,0,被称为“酒圣”的是____。 A. 刘伶 B. 李白 C. 陶渊明 D. 杜康 答案：,,B,,B,llama-7b-hf,660,658,2,0.0,0.09
14,0,我国古桥最多的城市是____。 A. 扬州 B. 苏州 C. 绍兴 D. 杭州 答案：,,C,,C,llama-7b-hf,654,652,2,0.0,0.09
15,0,下面这首绕口令主要可以帮助训练哪组发音。____ 出前门，往正南，有个面铺面冲南，门口挂着蓝布棉门帘。 摘了他的蓝布棉门帘，面铺面冲南；给他挂上蓝布棉门帘，面铺还是面冲南。 A. En-an B. An-ian C. An-ar D. 阴平-阳平 答案：,,B,,B,llama-7b-hf,772,770,2,0.0,0.1
16,0,下列只能当作一个词使用的单位是____。 A. 非常好 B. 要不要 C. 来不及 D. 不理想 答案：,,A,,A,llama-7b-hf,657,655,2,0.0,0.09
17,0,元音和辅音的区别主要表现在____。 A. 气流经过口腔、咽腔时是否受阻 B. 发音器官是否均衡紧张 C. 声带是否振动 D. 时间延续久否 答案：,,C,,C,llama-7b-hf,709,707,2,0.0,0.1
18,0,语汇是词和语的集合，下列关于“语”的表述，正确的一项是____。 A. “语”是所有词组的集合 B. “语”的意义是若干词的意义的加合 C. “语”是可以拆分的语言片段 D. “语”包括“固定词组”和“熟语” 答案：,,B,,B,llama-7b-hf,729,727,2,0.0,0.1
19,0,下列各项中是词的有____。 A. 白纸 B. 耳朵软 C. 新房 D. 欠债 答案：,,C,,C,llama-7b-hf,662,660,2,0.0,0.09
20,0,“马后炮”“泼冷水”“老油条”都属于____。 A. 简缩词语 B. 成语 C. 谚语 D. 惯用语 答案：,,B,,B,llama-7b-hf,675,673,2,0.0,0.09
21,0,“去游泳”是____。 A. 联合短语 B. 偏正短语 C. 动宾短语 D. 连谓短语 答案：,,B,,B,llama-7b-hf,668,666,2,0.0,0.09
22,0,大乘佛教的四大菩萨分别是____、普贤菩萨、地藏菩萨和观音菩萨。 A. 文殊菩萨 B. 弥勒菩萨 C. 药王菩萨 D. 虚空藏菩萨 答案：,,C,,C,llama-7b-hf,726,724,2,0.0,0.09
23,0,佛教徒为了纪念____的成道日，每年的腊月初八要煮粥供众，称为腊八粥。 A. 观世音菩萨 B. 地藏王菩萨 C. 弥勒佛 D. 释迦牟尼 答案：,,C,,C,llama-7b-hf,721,719,2,0.0,0.1
24,0,下列句子陈述中不正确的是____。 A. iou前加声母时，写成iu B. uei前面有声母时写成ui，前面没有声母时写成wei C. ueno前面不带任何声母，它只能自成音节，如weno(翁) D. 含有iu和ui的音节声调应标在i上 答案：,,C,,C,llama-7b-hf,732,730,2,0.0,0.09
25,0,唐宋八大家中唐朝人有____位。 A. 2 B. 4 C. 3 D. 5 答案：,,C,,C,llama-7b-hf,645,643,2,0.0,0.09
26,0,在日本发现的印有“汉倭奴国王”五个汉字的金印是____赐予的。 A. 汉武帝 B. 汉光武帝 C. 汉文帝 D. 汉景帝 答案：,,C,,C,llama-7b-hf,679,677,2,0.0,0.09
27,0,英语代词“我”作主语时写作“I”，作宾语时写作“me”。这种变化是语法范畴中____的表现。 A. 性 B. 数 C. 格 D. 人称 答案：,,B,,B,llama-7b-hf,681,679,2,0.0,0.09
28,0,常用语汇和非常用语汇主要是从下列哪个角度区分出来的____。 A. 词的使用场合 B. 词的专业特色 C. 词的使用频率 D. 词的历史来源 答案：,,C,,C,llama-7b-hf,697,695,2,0.0,0.09
29,0,四川话属于____。 A. 湘方言 B. 粤方言 C. 客家方言 D. 北方方言 答案：,,B,,B,llama-7b-hf,651,649,2,0.0,0.09
30,0,梅兰芳的角色是____。 A. 生 B. 旦 C. 净 D. 丑 答案：,,B,,B,llama-7b-hf,649,647,2,0.0,0.09
31,0,在中国通常作为“福”的象征的是____。 A. 牡丹 B. 象 C. 麒麟 D. 蝙蝠 答案：,,B,,B,llama-7b-hf,664,662,2,0.0,0.09
32,0,“暴露”的“暴”有两种读音：bào和pù____。 A. 它有不同意义，不是异读词 B. 是受文言读音影响的异读词 C. 是由北京语音本身特殊发展而成的异读词 D. 是受讹读的影响 答案：,,C,,C,llama-7b-hf,741,739,2,0.0,0.1
33,0,“上来”是____。 A. 助动词 B. 判断动词 C. 趋向动词 D. 及物动词 答案：,,B,,B,llama-7b-hf,658,656,2,0.0,0.09
34,0,____是张仲景的论著，开后世方剂学的先声。 A. 伤寒杂病论 B. 神农本草经 C. 本草纲目 D. 千金要方 答案：,,B,,B,llama-7b-hf,687,685,2,0.0,0.1
35,0,有人用“世上本有路，走的人多了，也便没了路”来形容城市交通拥堵状况，引号中的话是用了____辞格。 A. 回环 B. 反语 C. 仿拟 D. 夸张 答案：,,B,,B,llama-7b-hf,700,698,2,0.0,0.09
