id,evaluation,question,answer_target,answer_model,explanation,completion,model,tokens,tokens_prompt,tokens_completion,cost,latency
0,0,在代数系统中，整环和域的关系是____ A. 整环一定是域 B. 域不一定是整环 C. 域一定是整环 D. 域一定不是整环 答案：,,C,,C,llama-7b-hf,601,599,2,0.0,0.08
1,0,下列公式与$\left(\forall x\right)\left(\left(\exists y\right)P\left(y\right)\rightarrow Q\left(x\right)\right)$等值的是____ A. $(\forall\:x)\:(\exists\:y)\:(\mathsf{P}\:(y)\:\rightarrow\:\mathsf{Q}\:(x)\:)$ B. $\left(\forall x\right)\left(\forall y\right)\left(\neg\mathsf{P}\left(y\right)\:\rightarrow\:\mathsf{Q}\left(x\right)\right)$ C. $\left(\forall x\right)\left(\neg\mathtt{Q}\left(x\right)\ \rightarrow\ \left(\forall y\right)\neg\mathtt{P}\left(y\right)\right)$ D. $\left(\exists y\right)\mathsf{P}\left(y\right)\:\rightarrow\:\left(\:\forall x\right)\mathsf{Q}\left(x\right)$ 答案：,,B,,B,llama-7b-hf,740,738,2,0.0,0.09
2,0,一个连通图G具有以下____条件时，能一笔画出：即从某结点出发，经过图中每边仅一次回到该结点。 A. G 没有奇数度结点 B. G 有一个奇数度结点 C. G有2个奇数度结点 D. G没有或有2个奇数度结点 答案：,,B,,B,llama-7b-hf,619,617,2,0.0,0.08
3,0,公式$\neg p\rightarrow(q\rightarrow r)$与____等值。 A. $q\rightarrow(p\lor r)$ B. $(p\wedge q)\rightarrow r$ C. $(p\rightarrow r)\lor(q\rightarrow r)$ D. $p\rightarrow\left(q\lor r\right)$ 答案：,,B,,B,llama-7b-hf,589,587,2,0.0,0.08
4,0,具有7个结点的所有非同构的树有____个。 A. 7 B. 11 C. 12 D. 14 答案：,,B,,B,llama-7b-hf,558,556,2,0.0,0.07
5,0,若一个平面图G是面4可着色的，则其对偶图G*一定满足_____ A. 点4可着色 B. 面4可着色 C. 有H回路 D. 有欧拉回路 答案：,,B,,B,llama-7b-hf,588,586,2,0.0,0.07
6,0,下列公式中____不是永真式: A. $\neg p\rightarrow(p\rightarrow q)$ B. $p\rightarrow(\neg p\rightarrow q)$ C. $\big(p\to\big(q\lor(p\to q)\big)\big)\land\neg q$ D. $\big(p\to\big(q\lor(p\to q)\big)\big)\lor\neg q$ 答案：,,C,,C,llama-7b-hf,613,611,2,0.0,0.08
7,0,令$P$:今天下雪了，$Q$:路滑，则命题“虽然今天下雪了，但是路不滑”可符号化为____ A. $P\rightarrow\neg Q$ B. $P \lor \neg Q$ C. $\textit{P}\wedge Q$ D. $\textit{P}\wedge \neg Q$ 答案：,,B,,B,llama-7b-hf,607,605,2,0.0,0.08
8,0,以下性质不一定正确的是____ A. $A=B\Leftrightarrow P(A)=P(B)$ B. $A\subseteq B\Leftrightarrow P(A)\subseteq P(B)$ C. $P(A)\in P(B)\Leftrightarrow A\in B$ D. $(A-B)\oplus(A-C)=\Phi\Leftrightarrow A-B=A-C$ 答案：,,B,,B,llama-7b-hf,615,613,2,0.0,0.08
9,0,"设个体域为$\{-1,1\}$，并对$\mathsf{P}\left(x,y\right)$设定为$\mathsf{P}\left(-1,-1\right)\mathsf{=T}$,$\mathsf{P}\left(-1,1\right)\mathsf{=F}$,$\mathsf{P}(1,-1)\mathsf{=T}$,$\mathtt{P}\left(1,1\right)\mathtt{=F}$，其真值为$\textbf{T}$的公式为____ A. $(\forall x)\left(\exists y\right)\mathsf{P}\left(x,y\right)$ B. $(\exists x)(\forall y)\mathsf{P}(x,y)$ C. $(\forall x)(\forall y)P(x,y)$ D. $(\forall y)(\exists x)P(x,y)$ 答案：",,B,,B,llama-7b-hf,709,707,2,0.0,0.1
10,0,$R$是集合$A$上的二元关系，下面____说法是错误的。 A. $tsr(R)=trs(R)$ B. $rts(R)=tsr(R)$ C. $str(R)=rts(R)$ D. $rts(R)=trs(R)$ 答案：,,B,,B,llama-7b-hf,596,594,2,0.0,0.07
11,0,以2，2，3，3，1，1，1，1为顶点度数列的所有非同构的无向树的个数为____。 A. 4 B. 5 C. 6 D. 7 答案：,,B,,B,llama-7b-hf,575,573,2,0.0,0.08
12,0,已知5阶有向图G的度数列和入度列分别为(3，3，2，3，3)和(2，1，1，1，2)，则有向图G的出度列为____。 A. (1，2，1，2，1) B. (2，2，2，2，0) C. (2，2，1，2，1) D. (1，2，0，2，1) 答案：,,B,,B,llama-7b-hf,628,626,2,0.0,0.08
